wals code,name,value,description,genus,family,,
rap,Rapanui,2,Prepositions,Oceanic,Austronesian,,
raw,Rawang,1,Postpositions,Nungish,Sino-Tibetan,,
rem,Remo,1,Postpositions,Munda,Austro-Asiatic,,
res,Resígaro,1,Postpositions,Inland Northern Arawakan,Arawakan,,
ret,Retuarã,1,Postpositions,Tucanoan,Tucanoan,,
rik,Rikbaktsa,1,Postpositions,Rikbaktsa,Macro-Ge,,
rwe,Romani (Welsh),2,Prepositions,Indic,Indo-European,,
rom,Romanian,2,Prepositions,Romance,Indo-European,,
rga,Ronga,2,Prepositions,Bantoid,Niger-Congo,,
rot,Rotuman,2,Prepositions,Oceanic,Austronesian,,
ruk,Rukai (Tanan),2,Prepositions,Rukai,Austronesian,,
rum,Rumu,1,Postpositions,Turama-Kikorian,Turama-Kikorian,,
run,Runga,1,Postpositions,Maban,Maban,,
rny,Runyankore,2,Prepositions,Bantoid,Niger-Congo,,
rus,Russian,2,Prepositions,Slavic,Indo-European,,
rut,Rutul,1,Postpositions,Lezgic,Nakh-Daghestanian,,
saa,Sa'a,2,Prepositions,Oceanic,Austronesian,,
sno,Saami (Northern),1,Postpositions,Saami,Uralic,,
sah,Sahu,2,Prepositions,North Halmaheran,West Papuan,,
sak,Sakao,2,Prepositions,Oceanic,Austronesian,,
slb,Saliba (in Papua New Guinea),1,Postpositions,Oceanic,Austronesian,,
sal,Salinan,2,Prepositions,Salinan,Salinan,,
syu,Salt-Yui,1,Postpositions,Chimbu,Trans-New Guinea,,
sle,Samba Leko,1,Postpositions,Adamawa,Niger-Congo,,
sam,Samoan,2,Prepositions,Oceanic,Austronesian,,
sdw,Sandawe,1,Postpositions,Sandawe,Sandawe,,
san,Sango,2,Prepositions,Ubangi,Niger-Congo,,
sta,Santa,1,Postpositions,Mongolic,Altaic,,
stl,Santali,1,Postpositions,Munda,Austro-Asiatic,,
snm,Sanuma,1,Postpositions,Yanomam,Yanomam,,
src,Sarcee,1,Postpositions,Athapaskan,Na-Dene,,
sar,Sare,1,Postpositions,Sepik Hill,Sepik,,
sav,Savi,1,Postpositions,Indic,Indo-European,,
svs,Savosavo,1,Postpositions,Savosavo,Solomons East Papuan,,
seb,Sebei,2,Prepositions,Nilotic,Eastern Sudanic,,
sed,Sedang,2,Prepositions,Bahnaric,Austro-Asiatic,,
slp,Selepet,1,Postpositions,Finisterre-Huon,Trans-New Guinea,,
sel,Selknam,1,Postpositions,Chon Proper,Chon,,
sem,Sema,1,Postpositions,Kuki-Chin,Sino-Tibetan,,
sme,Seme,1,Postpositions,Kru,Niger-Congo,,
sml,Semelai,2,Prepositions,Aslian,Austro-Asiatic,,
smn,Seminole,1,Postpositions,Muskogean,Muskogean,,
sen,Sena,2,Prepositions,Bantoid,Niger-Congo,,
sgl,Sengele,2,Prepositions,Bantoid,Niger-Congo,,
snt,Sentani,1,Postpositions,Sentani,Sentani,,
scr,Serbian-Croatian,2,Prepositions,Slavic,Indo-European,,
ser,Seri,1,Postpositions,Seri,Hokan,,
ses,Sesotho,2,Prepositions,Bantoid,Niger-Congo,,
shb,Shabo,1,Postpositions,Shabo,Shabo,,
shh,Sharanahua,1,Postpositions,Panoan,Panoan,,
skw,Shekhawati,1,Postpositions,Indic,Indo-European,,
she,Sherpa,1,Postpositions,Bodic,Sino-Tibetan,,
shl,Shilluk,2,Prepositions,Nilotic,Eastern Sudanic,,
sna,Shina,1,Postpositions,Indic,Indo-European,,
shk,Shipibo-Konibo,1,Postpositions,Panoan,Panoan,,
shy,Shira Yughur,1,Postpositions,Mongolic,Altaic,,
shi,Shiriana,1,Postpositions,Yanomam,Yanomam,,
shn,Shona,2,Prepositions,Bantoid,Niger-Congo,,
ryu,Shuri,1,Postpositions,Japanese,Japanese,,
shu,Shuswap,2,Prepositions,Interior Salish,Salishan,,
sir,Siar,2,Prepositions,Oceanic,Austronesian,,
sid,Sidaama,1,Postpositions,Highland East Cushitic,Afro-Asiatic,,
skk,Sikkimese,1,Postpositions,Bodic,Sino-Tibetan,,
skn,Sikuani,1,Postpositions,Guahiban,Guahiban,,
sim,Simeulue,2,Prepositions,Northwest Sumatra-Barrier Islands,Austronesian,,
sng,Sinaugoro,1,Postpositions,Oceanic,Austronesian,,
snh,Sinhala,1,Postpositions,Indic,Indo-European,,
sio,Sio,2,Prepositions,Oceanic,Austronesian,,
qum,Sipakapense,2,Prepositions,Mayan,Mayan,,
srn,Sirionó,1,Postpositions,Tupi-Guaraní,Tupian,,
sro,Siroi,1,Postpositions,Madang,Trans-New Guinea,,
sis,Sisiqa,2,Prepositions,Oceanic,Austronesian,,
siu,Siuslaw,5,No adpositions,Siuslawan,Oregon Coast,,
sko,Skou,1,Postpositions,Western Skou,Skou,,
sla,Slave,1,Postpositions,Athapaskan,Na-Dene,,
slo,Slovene,2,Prepositions,Slavic,Indo-European,,
so,So,2,Prepositions,Kuliak,Eastern Sudanic,,
sob,Sobei,2,Prepositions,Oceanic,Austronesian,,
sod,Soddo,4,No dominant order,Semitic,Afro-Asiatic,,
som,Somali,4,No dominant order,Lowland East Cushitic,Afro-Asiatic,,
sge,Songe,2,Prepositions,Bantoid,Niger-Congo,,
son,Sonsorol-Tobi,2,Prepositions,Oceanic,Austronesian,,
sor,Sora,1,Postpositions,Munda,Austro-Asiatic,,
srb,Sorbian,2,Prepositions,Slavic,Indo-European,,
sgb,Sougb,2,Prepositions,East Bird's Head,East Bird's Head,,
spa,Spanish,2,Prepositions,Romance,Indo-European,,
squ,Squamish,2,Prepositions,Central Salish,Salishan,,
sre,Sre,2,Prepositions,Bahnaric,Austro-Asiatic,,
sti,Stieng,2,Prepositions,Bahnaric,Austro-Asiatic,,
sue,Suena,1,Postpositions,Binanderean,Trans-New Guinea,,
sul,Sulka,2,Prepositions,Sulka,Sulka,,
sun,Sundanese,2,Prepositions,Malayo-Sumbawan,Austronesian,,
sup,Supyire,1,Postpositions,Gur,Niger-Congo,,
sus,Susu,1,Postpositions,Western Mande,Mande,,
swa,Swahili,2,Prepositions,Bantoid,Niger-Congo,,
swe,Swedish,2,Prepositions,Germanic,Indo-European,,
sba,Sáliba (in Colombia),1,Postpositions,Sáliba,Sáliban,,
tab,Taba,2,Prepositions,South Halmahera - West New Guinea,Austronesian,,
tbl,Tabla,1,Postpositions,Sentani,Sentani,,
tbw,Tabwa,2,Prepositions,Bantoid,Niger-Congo,,
tac,Tacana,1,Postpositions,Tacanan,Tacanan,,
tah,Tahitian,2,Prepositions,Oceanic,Austronesian,,
taj,Tajik,2,Prepositions,Iranian,Indo-European,,
tkl,Takelma,1,Postpositions,Takelma,Takelma,,
tak,Takia,1,Postpositions,Oceanic,Austronesian,,
tal,Talinga,2,Prepositions,Bantoid,Niger-Congo,,
tls,Talysh (Southern),1,Postpositions,Iranian,Indo-European,,
tam,Tamang (Eastern),1,Postpositions,Bodic,Sino-Tibetan,,
tsk,Tamashek,2,Prepositions,Berber,Afro-Asiatic,,
tml,Tamil,1,Postpositions,Southern Dravidian,Dravidian,,
tnc,Tanacross,1,Postpositions,Athapaskan,Na-Dene,,
tbx,Tangbe,1,Postpositions,Bodic,Sino-Tibetan,,
tpt,Tapieté,2,Prepositions,Tupi-Guaraní,Tupian,,
tce,Tarahumara (Central),1,Postpositions,Tarahumaran,Uto-Aztecan,,
twe,Tarahumara (Western),4,No dominant order,Tarahumaran,Uto-Aztecan,,
tar,Tariana,1,Postpositions,Inland Northern Arawakan,Arawakan,,
tsm,Tasmanian,1,Postpositions,Tasmanian,Tasmanian,,
tvo,Tatar,1,Postpositions,Turkic,Altaic,,
tts,Tati (Southern),1,Postpositions,Iranian,Indo-European,,
tsr,Taushiro,1,Postpositions,Taushiro,Taushiro,,
tsg,Tausug,2,Prepositions,Greater Central Philippine,Austronesian,,
tau,Tauya,1,Postpositions,Madang,Trans-New Guinea,,
taw,Tawala,4,No dominant order,Oceanic,Austronesian,,
tbo,Tboli,2,Prepositions,Bilic,Austronesian,,
tlf,Telefol,1,Postpositions,Ok,Trans-New Guinea,,
tel,Telugu,1,Postpositions,South-Central Dravidian,Dravidian,,
tmr,Temiar,2,Prepositions,Aslian,Austro-Asiatic,,
tne,Temne,2,Prepositions,Mel,Niger-Congo,,
ten,Tennet,4,No dominant order,Surmic,Eastern Sudanic,,
tny,Tenyer,1,Postpositions,Gur,Niger-Congo,,
teo,Teop,2,Prepositions,Oceanic,Austronesian,,
tee,Tepehua (Huehuetla),2,Prepositions,Totonacan,Totonacan,,
tep,Tepehua (Tlachichilco),2,Prepositions,Totonacan,Totonacan,,
tpn,Tepehuan (Northern),1,Postpositions,Tepiman,Uto-Aztecan,,
tps,Tepehuan (Southeastern),1,Postpositions,Tepiman,Uto-Aztecan,,
ter,Tera,2,Prepositions,Biu-Mandara,Afro-Asiatic,,
trb,Teribe,1,Postpositions,Talamanca,Chibchan,,
trt,Ternate,2,Prepositions,North Halmaheran,West Papuan,,
tes,Teso,2,Prepositions,Nilotic,Eastern Sudanic,,
tet,Tetela,2,Prepositions,Bantoid,Niger-Congo,,
ttn,Tetun,2,Prepositions,Central Malayo-Polynesian,Austronesian,,
ttd,Tetun Dili,2,Prepositions,Central Malayo-Polynesian,Austronesian,,
thd,Thadou,1,Postpositions,Kuki-Chin,Sino-Tibetan,,
tha,Thai,2,Prepositions,Kam-Tai,Tai-Kadai,,
thn,Thangmi,1,Postpositions,Mahakiranti,Sino-Tibetan,,
tho,Thompson,2,Prepositions,Interior Salish,Salishan,,
thu,Thulung,1,Postpositions,Mahakiranti,Sino-Tibetan,,
tmo,Tibetan (Modern Literary),1,Postpositions,Bodic,Sino-Tibetan,,
tid,Tidore,2,Prepositions,North Halmaheran,West Papuan,,
tgk,Tigak,2,Prepositions,Oceanic,Austronesian,,
tig,Tigrinya,2,Prepositions,Semitic,Afro-Asiatic,,
tgr,Tigré,2,Prepositions,Semitic,Afro-Asiatic,,
tja,Tiipay (Jamul),1,Postpositions,Yuman,Hokan,,
tim,Timugon,2,Prepositions,North Borneo,Austronesian,,
tin,Tinrin,2,Prepositions,Oceanic,Austronesian,,
tir,Tiriyo,1,Postpositions,Cariban,Cariban,,
trm,Tirmaga,1,Postpositions,Surmic,Eastern Sudanic,,
tiv,Tiv,2,Prepositions,Bantoid,Niger-Congo,,
tiw,Tiwi,2,Prepositions,Tiwian,Tiwian,,
tlp,Tlapanec,2,Prepositions,Subtiaba-Tlapanec,Oto-Manguean,,
tli,Tlingit,1,Postpositions,Tlingit,Na-Dene,,
tbt,Tobati,1,Postpositions,Oceanic,Austronesian,,
tlo,Tobelo,2,Prepositions,North Halmaheran,West Papuan,,
tke,Tokelauan,2,Prepositions,Oceanic,Austronesian,,
tla,Tolai,2,Prepositions,Oceanic,Austronesian,,
tno,Tondano,2,Prepositions,Minahasan,Austronesian,,
tng,Tongan,2,Prepositions,Oceanic,Austronesian,,
ton,Tonkawa,1,Postpositions,Tonkawa,Tonkawa,,
trw,Torwali,1,Postpositions,Indic,Indo-European,,
txj,Totonac (Xicotepec de Juárez),2,Prepositions,Totonacan,Totonacan,,
tou,Toussian,1,Postpositions,Gur,Niger-Congo,,
tri,Trique (Copala),2,Prepositions,Mixtecan,Oto-Manguean,,
tru,Trumai,1,Postpositions,Trumai,Trumai,,
tsf,Tsafiki,1,Postpositions,Barbacoan,Barbacoan,,
tsz,Tsez,1,Postpositions,Avar-Andic-Tsezic,Nakh-Daghestanian,,
tgl,Tshangla,1,Postpositions,Bodic,Sino-Tibetan,,
tsi,Tsimshian (Coast),2,Prepositions,Tsimshianic,Penutian,,
tgo,Tsogo,2,Prepositions,Bantoid,Niger-Congo,,
ttu,Tsova-Tush,1,Postpositions,Nakh,Nakh-Daghestanian,,
tai,Tuareg (Air),2,Prepositions,Berber,Afro-Asiatic,,
tgh,Tuareg (Ghat),2,Prepositions,Berber,Afro-Asiatic,,
tbu,Tubu,1,Postpositions,Western Saharan,Saharan,,
tuc,Tucano,1,Postpositions,Tucanoan,Tucanoan,,
tuk,Tukang Besi,2,Prepositions,Celebic,Austronesian,,
tul,Tulu,1,Postpositions,Southern Dravidian,Dravidian,,
tnn,Tunen,4,No dominant order,Bantoid,Niger-Congo,,
tnk,Tungak,2,Prepositions,Oceanic,Austronesian,,
tun,Tunica,1,Postpositions,Tunica,Tunica,,
tpr,Tupuri,2,Prepositions,Adamawa,Niger-Congo,,
tna,Turkana,2,Prepositions,Nilotic,Eastern Sudanic,,
tur,Turkish,1,Postpositions,Turkic,Altaic,,
tkm,Turkmen,1,Postpositions,Turkic,Altaic,,
tte,Tutelo,1,Postpositions,Core Siouan,Siouan,,
tvt,Tutsa,1,Postpositions,Northern Naga,Sino-Tibetan,,
tvl,Tuvaluan,2,Prepositions,Oceanic,Austronesian,,
tuv,Tuvan,1,Postpositions,Turkic,Altaic,,
tuy,Tuyuca,1,Postpositions,Tucanoan,Tucanoan,,
tzo,Tzotzil,2,Prepositions,Mayan,Mayan,,
tzu,Tzutujil,2,Prepositions,Mayan,Mayan,,
tsh,Tümpisa Shoshone,3,Inpositions,Numic,Uto-Aztecan,,
uby,Ubykh,1,Postpositions,Northwest Caucasian,Northwest Caucasian,,
udh,Udihe,1,Postpositions,Tungusic,Altaic,,
udm,Udmurt,1,Postpositions,Permic,Uralic,,
ukr,Ukrainian,2,Prepositions,Slavic,Indo-European,,
uld,Uldeme,2,Prepositions,Biu-Mandara,Afro-Asiatic,,
uli,Ulithian,2,Prepositions,Oceanic,Austronesian,,
una,Una,1,Postpositions,Mek,Trans-New Guinea,,
ung,Ungarinjin,1,Postpositions,Worrorran,Worrorran,,
url,Urak Lawoi',2,Prepositions,Malayo-Sumbawan,Austronesian,,
urn,Urarina,1,Postpositions,Urarina,Urarina,,
urd,Urdu,1,Postpositions,Indic,Indo-European,,
urk,Urubú-Kaapor,1,Postpositions,Tupi-Guaraní,Tupian,,
usa,Usan,1,Postpositions,Madang,Trans-New Guinea,,
ute,Ute,1,Postpositions,Numic,Uto-Aztecan,,
vaf,Vafsi,4,No dominant order,Iranian,Indo-European,,
vai,Vai,1,Postpositions,Western Mande,Mande,,
vie,Vietnamese,2,Prepositions,Viet-Muong,Austro-Asiatic,,
vif,Vili,2,Prepositions,Bantoid,Niger-Congo,,
vnm,Vinmavis,2,Prepositions,Oceanic,Austronesian,,
vot,Votic,4,No dominant order,Finnic,Uralic,,
wah,Wahgi,1,Postpositions,Chimbu,Trans-New Guinea,,
wai,Wai Wai,1,Postpositions,Cariban,Cariban,,
wak,Wakhi,4,No dominant order,Iranian,Indo-European,,
wal,Walman,1,Postpositions,Wapei-Palei,Torricelli,,
wbn,Wambon,1,Postpositions,Awju-Dumut,Trans-New Guinea,,
wme,Wambule,1,Postpositions,Mahakiranti,Sino-Tibetan,,
wna,Wan,1,Postpositions,Eastern Mande,Mande,,
wao,Waorani,1,Postpositions,Waorani,Waorani,,
wra,Warao,1,Postpositions,Warao,Warao,,
wry,Waray (in Australia),1,Postpositions,Warayic,Gunwinyguan,,
wrd,Wardaman,1,Postpositions,Yangmanic,Yangmanic,,
wrk,Warekena,2,Prepositions,Inland Northern Arawakan,Arawakan,,
wrm,Warembori,2,Prepositions,South Halmahera - West New Guinea,Austronesian,,
war,Wari',2,Prepositions,Chapacura-Wanham,Chapacura-Wanham,,
wrw,Warrwa,3,Inpositions,Nyulnyulan,Nyulnyulan,,
was,Washo,1,Postpositions,Washo,Washo,,
wsk,Waskia,1,Postpositions,Madang,Trans-New Guinea,,
wtm,Watam,1,Postpositions,Lower Ramu,Lower Sepik-Ramu,,
wat,Watjarri,1,Postpositions,Western Pama-Nyungan,Pama-Nyungan,,
way,Wayampi,1,Postpositions,Tupi-Guaraní,Tupian,,
wed,Wedau,4,No dominant order,Oceanic,Austronesian,,
wel,Welsh,2,Prepositions,Celtic,Indo-European,,
wem,Wembawemba,4,No dominant order,Southeastern Pama-Nyungan,Pama-Nyungan,,
wma,West Makian,2,Prepositions,North Halmaheran,West Papuan,,
wic,Wichita,5,No adpositions,Caddoan,Caddoan,,
wch,Wichí,2,Prepositions,Matacoan,Matacoan,,
wir,Wirangu,1,Postpositions,Central Pama-Nyungan,Pama-Nyungan,,
wiy,Wiyot,4,No dominant order,Wiyot,Algic,,
woi,Woisika,4,No dominant order,Greater Alor,Timor-Alor-Pantar,,
wol,Woleaian,2,Prepositions,Oceanic,Austronesian,,
wlo,Wolio,2,Prepositions,Celebic,Austronesian,,
wlf,Wolof,2,Prepositions,Northern Atlantic,Niger-Congo,,
wor,Worora,1,Postpositions,Worrorran,Worrorran,,
xas,Xasonga,1,Postpositions,Western Mande,Mande,,
xav,Xavánte,1,Postpositions,Ge-Kaingang,Macro-Ge,,
xho,Xhosa,2,Prepositions,Bantoid,Niger-Congo,,
xar,Xârâcùù,2,Prepositions,Oceanic,Austronesian,,
ygr,Yagaria,1,Postpositions,Eastern Highlands,Trans-New Guinea,,
yag,Yagua,1,Postpositions,Peba-Yaguan,Peba-Yaguan,,
yah,Yahgan,1,Postpositions,Yámana,Yámana,,
ykt,Yakut,1,Postpositions,Turkic,Altaic,,
yal,Yale (Kosarek),1,Postpositions,Mek,Trans-New Guinea,,
yap,Yapese,2,Prepositions,Yapese,Austronesian,,
yqy,Yaqay,1,Postpositions,Marind Proper,Marind,,
yaq,Yaqui,1,Postpositions,Cahita,Uto-Aztecan,,
yar,Yareba,1,Postpositions,Yareban,Yareban,,
ywr,Yawuru,3,Inpositions,Nyulnyulan,Nyulnyulan,,
yei,Yei,1,Postpositions,Morehead and Upper Maro Rivers,Morehead and Upper Maro Rivers,,
ylm,Yelmek,1,Postpositions,Bulaka River,Bulaka River,,
yel,Yelî Dnye,1,Postpositions,Yele,Yele,,
yi,Yi,1,Postpositions,Burmese-Lolo,Sino-Tibetan,,
yid,Yidiny,5,No adpositions,Northern Pama-Nyungan,Pama-Nyungan,,
yim,Yimas,1,Postpositions,Lower Sepik,Lower Sepik-Ramu,,
yin,Yindjibarndi,4,No dominant order,Western Pama-Nyungan,Pama-Nyungan,,
yok,Yokuts (Yaudanchi),2,Prepositions,Yokuts,Penutian,,
yor,Yoruba,2,Prepositions,Defoid,Niger-Congo,,
yuc,Yuchi,1,Postpositions,Yuchi,Yuchi,,
ycn,Yucuna,1,Postpositions,Inland Northern Arawakan,Arawakan,,
yko,Yukaghir (Kolyma),1,Postpositions,Yukaghir,Yukaghir,,
ytu,Yukaghir (Tundra),1,Postpositions,Yukaghir,Yukaghir,,
yul,Yulu,2,Prepositions,Bongo-Bagirmi,Central Sudanic,,
yur,Yurok,4,No dominant order,Yurok,Algic,,
yuw,Yuwaalaraay,5,No adpositions,Southeastern Pama-Nyungan,Pama-Nyungan,,
zan,Zande,2,Prepositions,Ubangi,Niger-Congo,,
zai,Zapotec (Isthmus),2,Prepositions,Zapotecan,Oto-Manguean,,
zap,Zapotec (Mitla),2,Prepositions,Zapotecan,Oto-Manguean,,
zya,Zapotec (Yatzachi),2,Prepositions,Zapotecan,Oto-Manguean,,
zar,Zarma,1,Postpositions,Songhay,Songhay,,
zaz,Zazaki,1,Postpositions,Iranian,Indo-European,,
zen,Zenaga,2,Prepositions,Berber,Afro-Asiatic,,
zhn,Zhuang (Northern),2,Prepositions,Kam-Tai,Tai-Kadai,,
zch,Zoque (Chimalapa),1,Postpositions,Mixe-Zoque,Mixe-Zoque,,
zqc,Zoque (Copainalá),5,No adpositions,Mixe-Zoque,Mixe-Zoque,,
zqs,Zoque (Soteapan),2,Prepositions,Mixe-Zoque,Mixe-Zoque,,
zul,Zulu,2,Prepositions,Bantoid,Niger-Congo,,
zun,Zuni,1,Postpositions,Zuni,Zuni,,
eme,Émérillon,1,Postpositions,Tupi-Guaraní,Tupian,,
omi,Ömie,1,Postpositions,Koiarian,Trans-New Guinea,,
